id;poem_author;post_author;date_posted;language;in_translation;poem_full_text;number_of_likes;number_of_comments;number_of_shares;
425;Arkadii Shtypel;Arkadii Shtypel;11/1/2014;Russian;No;"*
зималето эка невидаль
водевильная луна
луна бесповоротная
из соломки сплетена
за окошком зажжена
если долго глядеть
может что и привидится
толидело 
то ли дело круг точильный 
круг точильный музыкальный
толидело
то ли дело асфоделей луг печальный
круг зеркальный
зималето
то ли дело дым дымок
разгулявшийся денек 
то ли дело то ли дело что читается меж строк
паутинкою чулочек
золотящийся лобок 
зималето 
по вагонам да по склонам
непонятный ветерок
луннозападный восток
теплым тепло нам
под юным кленом
пододеяломзеленым";43;4;3;
426;Mykola Zerov;Nathalie Beltchenko;11/2/2014;Ukrainian;No;"Микола ЗЕРОВ
В ДОНБАСІ
Дванадцять днів, дванадцять синіх чаш 
Над сірими і ржавими ярами — 
Ми їх пили маленькими ковтками, 
Бо знали ми: півмісяць буде наш.
З далеких гін, де море і Сиваш, 
Вітри міцними набігали снами, 
Схилявся день до західної брами 
І вабив степ із саду і піддаш.
І вгору брались ми крізь глід і терен, 
Не зводячи очей з огнистих зерен, 
Просипаних на кристалічну синь.
В крайнебі гасли просмуги янтарні, 
А проти нас крізь млу і далечінь 
Займалось дві зорі на солеварні.
4.05.1933";25;3;;
427;Julia Musakovska;Julia Musakovska;11/7/2014;Ukrainian;No;"зненацька крізь сон ледве чутне 
""мамо боюся"" - 
і ти летиш темними коридорами пам'яті
спіральними 
безкінечними 
сходами підсвідомості 
і  у кролячу нору перевертом
падаєш 
гойдайте мене дзвіночки гойдай паслін 
гойдайте аби не зважилася й дихнути
дитино які мої руки важкі великі  
чому ж мені ними до тебе не дотягнутися
це річка густого клею легені набиті ватою
усе що ти вмієш - спалахувати і згоряти
дитина боїться а що ти їй можеш дати
крім власного - більшого і темнішого - страху
07.11.2014";34;;;
428;Julia Musakovska;Julia Musakovska;11/8/2014;Ukrainian;No;"дивиться як висихають комиш і осот
кидає промені скупо мов чайові
дивиться вниз як борсаються живі
склавши долоні витягнувшись на зріст
глянь же змія кусає себе за хвіст
пісня дерев розбивається об метал
скільки річних кілець ти вже намотав
стільки ниток заплетено у канат
зморщені чорні обличчя це виноград
танкові залпи бубни п'яних циган
сонце гарчить зривається з ланцюга
кінчик рудого біліє це твій тотем
лоскітно шовково буде тобі за те
шелестом гуркотом вена війна дзвенить
дай мені зістрибнути в останню мить
потяг співай і тягни мене до небес
дай мені жити з вогнем я не вмію без
вибухни сонце хай спалахне комиш
тільки осколок у серці мені залиш 
8.11.2014";30;5;1;
429;Nathalie Beltchenko;Nathalie Beltchenko;11/9/2014;Ukrainian;No;"*
Канівського моря вітрильник
сосни правого берега
вітають тебе
* 
ноябрьский урожай
донышки и венчики
на убранных огородах
*
віддзеркалені в озері Ріца
осінні дерева 
дотепер зелені
*
коты Триполья
ластятся
к Великой Матери
*
всі блукачки
знайшлись 
на Дівич-горі
*
трипільські тисячоліття
під ногами
язичницьки пахне листя";22;7;;
430;Julia Musakovska;Julia Musakovska;11/11/2014;Ukrainian;No;"витончені краків'янки
роверистки в широких спідницях
в кедах
взутих на чорні панчохи
возять торбинки у кошиках роверових,
повні афін барселон копенгагенів
іхні парфуми з виразним 
ароматом свободи
наздоганяють тебе швидше
за їхні ровери
легко застрибують поза комір
дражнять тебе і дражнять
а полотнища прапорів
шелестять велетенськими крилами -
і ти віриш у їхній політ
легше ніж у власний
ти віриш бо
прапори шелестять
коні цокають бруком
краків'янки летять
стукають спиці в колесах
дзвони б'ють
мови світу стають одною
знайомою говіркою
діти сміються і приймають
кульки повітряні від незнайомців
ти сідаєш на підтале морозиво
біля фонтану на Ринку
і не засмучуєшся
над тим усім
Ян Павло простирає долоні
білий голуб спурхує
і ти злетиш
8.11.2014";27;5;;
431;Serhii Zhadan;Serhii Zhadan;11/11/2014;Ukrainian;No;"Лише твої слова,
лише таємниці й дива,
лише сповідь і піст
в одному з портових міст.
Кохай, рибо, кохай,
хай безнадійно, хай,
хай без жодних надій – 
радій, рибо, радій. 

Любов варта всього –
варта болю твого,
варта твоїх розлук,
варта відрази й мук,
псячого злого виття,
злості й милосердь.
Варта навіть життя.
Не говорячи вже про смерть.";179;5;30;
432;Julia Musakovska;Julia Musakovska;11/12/2014;Ukrainian;No;"голосом торкайся мене якщо не можеш інакше
відшліфованим теплим наче камінь на узбережжі
стільки слів назбиралось між долонями нашими
що не вдається ними з'єднатись без застережень
без перетворень масових заворушень і землетрусів
повним недосконалостей тихим шорстким лускатим 
голосом торкайся до мене проти течії рухайся
обирай шляхи потаємні які іншим не відшукати
вибавленим виноградним настояним на паузах
голосом огорни за плечі аби вберегти від холоду
добре що залишається поміж нами несказане
добре що є твій голос  - всередині і навколо
понад лісами мертвими будинками в сплячці зимовій
голосом гостродзьобим юним заклинателем зміїв
ритми видобувай із якими серцебиття у змові 
голосом торкайся мене як більше ніхто не вміє
12.11.2014";41;6;;
433;Luba Iakymchuk;Lyuba Yakimchuk;11/12/2014;Hebrew;Yes;"כשהתותחים רועמים
ליובוב יקימצ'וק
 
מאוקראינית: אנטון פפרני
 
התפרקות

במזרח אין כל חדש*
כמה זמן אפשר ללא שום חדש?
המתכת מתחממת לפני מותה
ובני האדם מצנות ממנה.

אל תספרו לי על שום דונצק
היא כבר מזמן רק נֶצְק  
דוֹ – גוהץ עַד תום האספלט האדום
ידידיי נעשו בני ערובה –
אילו הנסק הייתי רואה הייתי באה
לחלצם מכל מרתף כטרף מִטפרי הטורף

ואתם כותבים שירים יפים כמו רקמה
כותבים שירים כלולים בכל מעליותיהם
שירה גובהה נעלה
אין שירה על המלחמה
המלחמה - רק התפרקות ללא התרפקות 
רק אותיות
וכולן – ררררר

פֶּרְבוֹמאיסְק המופגזת נשברה לפרבו ומאיסק –
רק זעקה היא שמעה לעומת השמיים
שוב הסתיימה שם המלחמה
אך לא בא השלום

ומי יפדֶה בָּלְצֶבוֹ?
מי יפדֶה לנו בָּלְצֶבוֹ?
שם לא ייוולד עוד סוסיורה**
שם לא ייוולד עוד שום אדם.

אני מביטה אל האופק
הוא משולש, משולש
והחמניות בשדֶה שומטות ראשיהן       
כולן יבשו והשחירו וגם אני
כבר הזקנתי נורא
אינני עוד ליובה
אני רק בה
22 באוגוסט 2014

*  דונצק, לוהנסק, פרבומאיסק דבלצבו – ערים באזור הקרבות במזרח אוקראינה. לוהנסק היא עיר הולדתה של המשוררת.
**  וולודימיר סוסיורה (1898 – 1965) – משורר אוקראיני, יליד העיר דבלצבו 

Любов Якимчук ""Розкладання""";15;17;;
434;Iryna Tsilyk;Iryna Tsilyk ;11/15/2014;Ukrainian;No;"Я дещо знаю про людей, народжених у листопаді. Знаю, як вас (нас) тепер плющить, як боляче злізає з м'ясом стара шкурка, щоб косо-криво перейти на наступний рівень гри і почати нарощувати чергове нове Я... Дорогі мої листопадові, написала про вас (нас) вірш. Але щонайперше дарую його Eva Marko, в якої сьогодні День народження )
.Листопадові.
Єві
Ми, листопадові, купчимось нині у стаї
І відлітаєм. До себе самих, здебільшого.
Баба в дублянці з картатої сумки дістане
Варені яйця і книжку з твоїми віршами.
Так мало світла й любові. Ховай в камуфляжі
Мокре лице. Не розказуй лиш, чи то кров, чи ні. 
Все, що в нас є, – завжди в межах ручної поклажі.
Вуса і хвіст – ось шенгени мої прострочені. 
Траса, поля, чорних стерень оголені вістря
І сухоребрі дерева в дірявих светриках.
Нам, листопадовим, скоро забракне повітря
І не завадить принаймні якась конкретика.
Тільки дорога розпоре всі шви по-живому.
Можеш – несися вперед, поки вдосталь просвітів. 
Ти не постарієш. Зрештою, у контровому
Всі ми молодші на кілька даремних досвідів.
А перше скло на калюжах під колесом трісне – 
Тисячі скалок, мов «Гради”, злетять за жертвами.
Побережи своє серце. Ці лови зумисні,
Це снігова королева прийшла за мертвими. 
Марно. Ми надто живі – ще ламаємо стіни,
Любимось, як ошалілі, між злими війнами.
А хтось з-за хмари слідкує за нами постійно
І дістає до землі золотими віями.";56;11;11;
435;Julia Musakovska;Julia Musakovska;11/18/2014;Ukrainian;No;"приблизно рік тому написаний вірш. хай тут повисить.
А ми ходили колами й не знали,
що то насправді - кола по воді.
Що світло - палахке і досконале 
зависле там на обрії - не дім.
А тільки знак продовження дороги.
У скринях - вітер, а на скронях - пил.
І зачепившись місяцю за роги,
тріщали кволі тіні наших тіл.
І коні спотикалися тривожно,
і криком розсипалися сичі,
що прихистку не буде подорожнім
що з ночі наготовано мечі.
А ми ішли, як діти, безборонні.
Сліди горіли. І зачувши дим,
дитя переверталося у лоні -
і світ перевертався разом з ним.
06.01.2014";46;5;;
436;Luba Iakymchuk;Lyuba Yakimchuk;11/18/2014;Ukrainian;No;"ДВІ ВОЛОСИНКИ
чорні кульки сажі летять із димаря
залишаючи відбитки своїх траєкторій
на білому простирадлі неба
баба
баба
бах
один снаряд сажі підірвав мою волосинку
і мені на долоню впав її попіл —
баба на лавочці одягнула на голову хустину
білі кульки снігу летять із хмари
своєю крижаною крейдою
скреготять по чорній дошці неба
баба
баба
бах
один снаряд снігу підірвав мою іншу волосинку
вона посивіла, але втрималась на голові —
баба на лавочці затягнула хустину міцніш
а я стою посеред міста
думаю, чи втрималась я
чи вже лежу простоволоса і сива
накрита простирадлом неба
на дошці неба
під небом
з якого стріляють
чорні
і білі
для О.Ч.
17 листопада 2014, Київ
Правда, Олексій Чупа?";31;14;1;
437;Julia Musakovska;Julia Musakovska;11/22/2014;Ukrainian;No;"Господи заганяєш собі цих людей як голки під нігті
живишся їхнім промінням плачеш від їхніх іклів
душі їхні пухнасті обтріпуєш наче осінні квіти
намагаєшся до жодного серцем не прикипіти
нащо мені мій Господи це осине гніздо це виногроно
бідкатись над нерозшифрованими над сторонніми
рукостисканнями захист навколо себе обводити
борсатися між ними до виснаження до свободи
ті що зі своїх жердин спурхують без зусилля
чи відвертатимуть свої обличчя штукарські красиві
чи писатимуть тобі повідомлення сухі та стислі
птицелюди твариниська ангелоликі людиська
виплакати б їх  - все що виплачеш навік поза тобою
а вони залишаються в оці у горлі й не гояться
їхні пісні розчиняєш у склянці гірким плацебо
Господи роздер би на шматки серце би вийняв
із себе
22.11.2014";29;9;3;
438;Julia Musakovska;Julia Musakovska;11/22/2014;Ukrainian;No;"про те, що почалося рік тому. і про те, що триває. ми переможемо.
***
а наступного сина свого називає гнів
у наплічник йому вкладає уламки миру
через двері в сусідську глуху наче ліс квартиру
скачуть відблиски світла чи то голоси вогнів
повні жмені ключів а на виході морок дим
і здригнеться рука й ключі закричать як дзвони 
вже засіяно зуби дракона то ж вийдуть воїни
і стіна сколихнеться і мовчки піде за ним
що він взяв у дорогу розкришені десь на дні 
білі голуби з хлібного м'якуша слово тіло
у долоньці дитини затиснені квіти й стріли
наконечники гострі а пелюстки крижані
вже не смішно не страшно залізо вогонь проїв
він зриваючи петлі усі відчиняє двері 
це межа неповернення і по воді затвердлій
тупотітимуть ноги наступних її синів
21.01.2014";31;1;;
439;Luba Iakymchuk;Lyuba Yakimchuk;11/26/2014;Ukrainian;No;"Poem is an image. Preface in FB post: Я розумію, що вибори, але у мене тут завівся ""ВІРШ ІЗ РОДЗИНКАМИ"", і я його спробувала промалювати. Якщо знайдеться художник, який би зміг намалювати краще, особливо родзинки, то радо віддам його в теплі руки. (Відкривайте, бо фейсбук здрібнює дуже)";39;10;;
440;Dmitro Karateev;Nathalie Beltchenko;11/29/2014;Russian;No;"Вірш київського поета Дмитра Каратєєва:
РУССКО-ЯПОНСКИЙ СОН
Пролив напрорыв перекрыли враги,
И сам Токунага в ловушке.
Приходится драться, ни зги, ни ноги.
В который раз плачьте, старушки.
Ты гол как монгол, яко наг, тако благ,
И флаг чёрно-жёлтый на мачте.
Я урка по жизни, желаю всех благ,
В который раз, матушки, плачьте.
Не плачут японки – глазёнки узки,
А русским давно надоело.
Тут риса комочки, тут хлебца куски,
А схватка – всеобщее дело.
На некоем судне служил кочегар –
Кто был он по крови, по расе?
Давление двести, в каморке угар…
Еси-небеси-хокуяси!
К ногам привязали ему березняк,
Простынкою прах обернули,
Кто надо пришёл и пропел отходняк,
Согласно закону Бернулли.
Безумие пенится пастью кита,
И выше волны Токунага,
А волны поют – от винта, от винта! –
Геройскую гибель «Варяга».";10;4;;
441;Julia Musakovska;Julia Musakovska;12/1/2014;Ukrainian;No;"до першого дня.
перші п'ятнадцять хвилин зими
небо розгойдане вниз просіло
в пригорщах кільця холодних змій
слухають розповідь твого тіла
липа за шибою в лапі шип -
міцно засів ніби скалка льоду
тихий приспішнику не спіши
сніг є тривкішим від насолоди
сніг красномовніший за любов
мовчки ступає по краю світла
ми надто близько до нас обох
надто далеко до первоцвіту
довго до жертви із крил снігів
поки не крапає них червоне
тіні на стелі крихкі й нагі
смикають шепоту мідний дзвоник
(з ""Полювання на тишу"", 2014)";11;;;
442;Julia Musakovska;Julia Musakovska;12/2/2014;Ukrainian;No;"Коли він розітне ходою зимовий ранок,
що залишиться, щоб тримати тебе при тямі?
Теплий тіла відбиток, пам'яті птах поранений,
розгалуження голосу, що у стіни вростає.
Як він голиться, як згрібає ключі у жменю,
як торкається скроні, немовби приціл наводить,
як розчісує пальцями коси твої розметані,
як стискає плече, наче більш не буде нагоди
залишитись віч-на-віч для обміну тілом і світлом,
захлинутися, щоб не порожньо, щоб не страшно.
Як наказує не забувати про хліб і молитву,
хоч і знає, що друге живитиме значно краще.
Коло спільності розсипається на фрагменти,
стільки в просторі слів, та всіх до смішного мало.
Що за прикрість, коли всі вибілені знамена,
та можливості здатися не було і немає.
Не вслухайся у постріли кроків його на сходах,
не гойдай, не тули до грудей всеохопну пустку.
Тільки подумки з ним долай усі перешкоди,
тільки пошепки вкотре повторюй, 
що не відпустиш.
02.12.2014";31;9;;
443;Iryna Tsilyk;Iryna Tsilyk;12/3/2014;Ukrainian;No;"З метою покращення настрою написала вірш. Дитячий. Про любов! Нашій киці Панні Котті присвячується 🙂
ПАН КОЦЬКИЙ і ПАННА КОТТА
Жив на вулиці Волоській
У будинку номер сім
Довговусий кіт Пан Коцький.
Він завжди казав усім:
«Добре жити на Подолі.
Тут, мурняв, мишей доволі.
Їм ковбаску, п’ю коньяк.
Я запеклий холостяк.
У дворі, за смітниками, 
Стільки цікавущих справ.
Я не знаюся з жінками,
Тобто з кицьками. Мурняв».
А на вулиці Хорива
Жила киця муркотлива. 
Сіре хутро от кутюр –   
Панна Котта, мур-мур-мур.   
Делікатна і пухнаста,
Ще й чистьоха поготів.
«Я, – казала киця часто, –
Не виношу тих котів!»
А між тим, зима похмуро
Вже підкралася до мурок.
Снігом сипали хмарки.
Мерзли лапки і думки.
Кіт сидів у себе вдома,
Киця – в себе. Час минав,
І зажура невідома  
Докучала їм. Мурняв.
Сумувала Панна Котта:
«Як самотньо, от нудота».
І Пан Коцький захандрив:
«Що за тоскні вечори…»
Вже не хочеться шаліти,
Полювати за клубком, 
Якщо ні з ким розділити 
Радість, рибку й молоко.
Але якось сніг розтанув.
Сонце гріло безустанно,
І всі кицьки та коти
Розпушили вмить хвости.
Ох, і добре на Подолі!
Особливо навесні.
Цілий день гуляй доволі,
Як зійде набридлий сніг.
Тож на вулиці Волоській 
Довговусий кіт Пан Коцький
Поміж жовтих ліхтарів
Панну Котту перестрів. 
Зупинився волохатий,
Настовбурчив шерсть і зблід.
Киця фиркнула пихато:
«Тю, який нечемний кіт».
«О, яка гарненька киця! – 
Кіт завмер і прояснів. –
Дуже хочеться жениться.
Особливо навесні».
Що там сталось з ними далі,
Ми не знаємо деталі,
Але весь котячий рід
Запросили на обід.
І на вулиці Хорива,
Коли світлий день настав, 
Наша киця муркотлива
Вийшла заміж за кота.
Десять днів за смітниками
Був бенкет. Коти з кицьками
Танцювали знов і знов.
Хай, мурняв, живе любов!";129;18;13;
444;Luba Iakymchuk;Lyuba Yakimchuk;12/3/2014;Ukrainian;No;"ВІН КАЖЕ, ЩО ВСЕ БУДЕ ДОБРЕ
він каже: розбомбили школу, до якої ти ходила
він каже: їжа закінчується, грошей немає
він каже: гуманітарка з білих фур — єдине наше спасіння
він каже: гуманітарка щойно полетіла снарядами
школи немає
як це, коли, школи немає?
вона порожня, вона дірява чи її зовсім немає?
що сталося з моїм фото, що висіло на дошці пошани?
що сталося з моєю вчителькою, яка сиділа в класі?
він каже: фотографія? кому потрібна твоя фотографія?
він каже: школа розплавилася — ця зима надто гаряча
він каже: вчительку я не бачив і не проси мене дивитися
він каже: бачив твою хресну — її вже немає
тікайте
киньте все і тікайте
залиште хату, погреб з абрикосовим варенням
та рожеві хризантеми, що стоять на веранді
собак пристрельте, щоби не мучилися
кидайте цю землю, кидайте
він каже: не верзи дурниць, ми щодня кидаємо землю — на труни
він каже: усе буде добре, порятунок вже скоро
він каже: гуманітарка вже йде
2 грудня 2014";171;12;42;
445;Iryna Tsilyk;Iryna Tsilyk;12/4/2014;Ukrainian;No;"Вибачте, Остапа понесло. Не хочу сьогодні читати про Путіна, чік-чірік-я-в-домікє, сиджу під ковдрою і пишу вірші для дітей.
ЛИСТ 
Я папір і ручку маю,
Ще й конверта десь дістав.
Я Святому Миколаю
Напишу, мабуть, листа.
Сніг за вікнами танцює.
Миколай мішок зібрав.
Тато каже, він працює
В міністерстві добрих справ.
Крізь ліси, поля і села,
Через швидкісні шосе
Миколай – дідусь веселий
Подарунки всім несе.
Чемним дітям під подушку
Він солодощі кладе,
А упертим непослушкам –  
Тільки різочку. Проте,
Написати можна щиро,
Як я маму ображав,
Як цукерки їв надміру
Й забрехався не на жарт.
Миколай – розумний дуже,
Скаже на таку біду:
“Хоч і свинтус ти, мій друже,
Але в гості я прийду”.
Як же все мені цікаво – 
Де живе цей чарівник?
З чим йому смакує кава?
До яких книжок він звик?
Чи цупкий у нього шарфик?
Чи нормальний в нього тиск?
Є у нього миші в шафі?
Чи його нервує писк?
Ходить він або літає?
Не боїться висоти?
Я про все його спитаю,
Як навчусь писать листи.";106;42;9;
446;Nathalie Beltchenko;Nathalie Beltchenko;12/4/2014;Ukrainian;No;"* * *
Індиго і сепія вийдуть на світло,
А мумія витягне всіх непомітно
В єгипетську темряву... Фарби фонять
Століттями – де б той дозиметр узять?
Я хочу тебе відвести під краплак
Осіннього клена чи впасти навспак
В свинцеві білила зимового ранку,
А влітку я хочу собі яр-мідянку.
Спокуса – лишитися на полотні,
До нитки вплестися у рухи складні,
В хімічну свободу, над-тварне єднання 
І не шкодувати востаннє.";5;;;
447;Nathalie Beltchenko;Nathalie Beltchenko;12/4/2014;Ukrainian;No;"* * *
Вранішнє сонце в одному вікні
Їсть пиріжок, а в другому – ні.
Висохлі трави стоять мовчазні,
Тільки шепочуть сни в полині.
Можна сховатись і знов віднайтись,
Ти погадай на Андрія, не бійсь.
Ймення назве та не визначить рис –
Буде тобі новорічний сюрприз.";15;3;;
448;Liudmila Khersonskaya;Julia Musakovska;12/6/2014;Russian;No;"***
Не знаю, как сказать тебе, кошка, что идет война,
не знаю, как сказать тебе, что ты можешь остаться одна.
Не знаю, как тебе объяснить
что есть вещи, которые нельзя починить.
Предположим, ты разбиваешь вазу,
ее не склеишь,
предположим, хотя не бывало ни разу,
ты украла курицу и об этом жалеешь,
но от курицы остался обглоданный куриный скелет
и даже ты понимаешь, что курицы больше нет.
Есть коты и кошки, они ничьи,
в их меню входят мыши и воробьи.
Они не пьют молоко, только воду одну,
таким животным легче перенести войну.
Может быть, кошка, нам придется отсюда бежать,
я не смогу взять тебя с собой, да тебя и не удержать,
ты боишься людей, боишься машин,
ты не видела, кошка, горящих шин.
Ты не слышала, как рвутся снаряды над головой,
ты слышала издалека только собачий вой.
Иными словами, кошка, ты остаешься одна,
ты, кошка, никому не будешь нужна.
Вот запас еды, его хватит на четыре дня.
И прости меня, если можешь, прости меня.";9;;;
449;Liudmila Khersonskaya;Liudmila Khersonskaya;12/6/2014;Russian;No;"зимой война становится настоящей войной,
окрас у нее пегий, иной,
зимой у войны особый оскал,
пес лапами роет лес - забыл, что искал.
что искал пес войны - ничего не нашел,
смотрит в глаза, голоден и тяжел.
а и что в наши глаза псу смотреть,
каждый за этот год сжался на треть,
глаз не поднять, не осилить собачий взгляд,
что у сильных на уме, то у пса на языке, говорят -
воет голодный пес холодной войны, 
роняет слюну на землю, скользко от песьей слюны,
и кроме тебя, мама, никто меня, мама, не успокоит-    
страшный пес войны вошел в человеческий лес и воет.";128;8;9;
450;Liudmila Khersonskaya;Liudmila Khersonskaya;12/6/2014;Russian;No;"***
Не знаю, как сказать тебе, кошка, что идет война,
не знаю, как сказать тебе, что ты можешь остаться одна.
Не знаю, как тебе объяснить
что есть вещи, которые нельзя починить.
Предположим, ты разбиваешь вазу,
ее не склеишь,
предположим, хотя не бывало ни разу,
ты украла курицу и об этом жалеешь,
но от курицы остался обглоданный куриный скелет
и даже ты понимаешь, что курицы больше нет.
Есть коты и кошки, они ничьи,
в их меню входят мыши и воробьи.
Они не пьют молоко, только воду одну,
таким животным легче перенести войну.
Может быть, кошка, нам придется отсюда бежать,
я не смогу взять тебя с собой, да тебя и не удержать,
ты боишься людей, боишься машин,
ты не видела, кошка, горящих шин.
Ты не слышала, как рвутся снаряды над головой,
ты слышала издалека только собачий вой.
Иными словами, кошка, ты остаешься одна,
ты, кошка, никому не будешь нужна.
Вот запас еды, его хватит на четыре дня.
И прости меня, если можешь, прости меня";382;31;90;
451;Liudmila Khersonskaya;Julia Musakovska;12/7/2014;Russian;No;"як страшно, коли приходять такі вірші.
See Translation
Людмила Херсонская
December 6, 2014  · 
зимой война становится настоящей войной,
окрас у нее пегий, иной,
зимой у войны особый оскал,
пес лапами роет лес - забыл, что искал.
что искал пес войны - ничего не нашел,
смотрит в глаза, голоден и тяжел.
а и что в наши глаза псу смотреть,
каждый за этот год сжался на треть,
глаз не поднять, не осилить собачий взгляд,
что у сильных на уме, то у пса на языке, говорят -
воет голодный пес холодной войны, 
роняет слюну на землю, скользко от песьей слюны,
и кроме тебя, мама, никто меня, мама, не успокоит-    
страшный пес войны вошел в человеческий лес и воет.";2;;;
452;Nathalie Beltchenko;Nathalie Beltchenko;12/8/2014;Ukrainian;No;"*
цапли зимуют в Киеве
храбрятся
серые на белом
*
в варежку синицы-ремеза
зимний Никола
подарок положит
*
хочу видеть снегиря –
и он прилетает
по дружбе
*
пламя печное 
бликует
памяти навстречу
*
погадай на Андрія
судженого
конем не об’їдеш
*
зимові зірки
з памороззю
однієї крові
*
передноворічне позачасся
десь МКС летить
а ми при свічках";30;2;3;
453;Julia Musakovska;Julia Musakovska;12/14/2014;Ukrainian;No;"Жінка, яка народжує тільки синів,
краще за всіх знає, що таке відпускати.
Скулений біля ніг її білоголовий сніг
віддано підіймає на неї зіниці-кратери.
""Тихо сидіти,"" - зронить краєчком вуст,
достеменно до кого - не зрозумієш.
Під хутром вгадує кров колючу й нову,
стримується, хоч у горлі шкребеться миша.
Припнуті до серця металеві нитки
розривають на всі чотири сторони світу -
більше їй не належить нічого, за ким
виглядати очі, доки не розвидніється.
Вміє іти малими кроками, але до кінця,
вміє знаходити силу, коли її більше немає.
У кишенях десятки куль дзенькотять,
спіймані на півдорозі до цілі, 
та все замало.
Приросла волоссям до неба, і вглиб
поміж мертвого листя вповзає одіж,
тріскає під ногами земля, наче теплий хліб, 
солодко так, волого і безтривожно.
Сніг тулиться носом у шию і не дає
вклякнути, висмикує, повертає до тями.
Чорні часи - 
коли довіряти не зможеш псові своєму,
доведеться хіба що перетворитись на камінь.
Без ланцюга прив'язаний, завжди побіля ніг.
Відірвала із м'ясом, своєчасно дала свободу.
Відпустила. З усіх залишився тільки сніг.
вилюднілий, нашорошений, незагоєний.
14.12.2014";39;1;;
454;Julia Musakovska;Julia Musakovska;12/14/2014;Ukrainian;No;"давній текст, який тепер теж читається по-іншому.
БІЛА КОЛИСКОВА
люляй моя остання солодка здобич
в небі на фабриці робиться перший сніг
місяць немовби кусень пахкої здоби
люляй мій спійманий звіре із білих снів
стіни побілені вікна розплющить вечір
дихання гнізда звиває межи стропил
фрази наївні неначе білі овечки
ходять убрід із долівки здіймають пил
люляй моє звіря білозубе люляй
напнута спина в готовності до стрибка
важелі каруселі - земної кулі
будуть завжди і ніколи в моїх руках
вимерзлі нори розорані коридори
всі твої шрами на шкірі моїй горять
люляй нарешті ми заплатили дорого
спи моє біло-пухнасте лихе звіря
2011";14;1;;
455;Oleh Lysheha;Ostap Slyvynsky;12/18/2014;Ukrainian;No;"""Моє тіло раптом стало тісне..
Те, що мав, мало бути більше..
І я зібгався клубком,
І затиснув до крові кулак,
І чекав, щоб він розбух..
Але він не повнився..
До мене знов просився усередину
Той давній простір..
Але я вже набагато менший..
Ще ніколи не було такої тяжкої ночі..
І десь вже над ранком
Не давала спокою одна-єдина думка:
Я не витримаю так далі..
Лише коли він вгамується
І осяде чорна настовбурчена шерсть —
Аж тоді похилиться набік хребет
І, поволі кружляючи,
Я увійду в небесний став..""
Олег Лишега
Про це вже всі знають, а я зараз трохи відрізаний від постійного джерела новин. Все якось маліє перед обличчям (таких) смертей: хтось чекає на транспорт, хтось коментить чиїсь злі коменти, хтось прогризає дірки в чиїхось там преміях чи ґрантах, хтось робить селфі в новій майці, хтось обговорює чиєсь інтерв'ю... А тут ніби б'є ґонґ. Плаваєш собі так під кригою (пам'ятаєте Лишегового коропа?), і раптом хтось б'є по кризі згори. 
Спочивай з миром, Олеже.";86;3;3;
456;Aleksei Tsvetkov;Julia Musakovska;12/21/2014;Russian;No;"[старое]
вечером
вносим светильники в дом собираем в саду котят
бедные крошки скоро стервятники прилетят
золото кость зола в сторожевых кострах
запах острее ночные цветы источают страх
меры не знали в вине прозевали за лютней страду
скудные злаки овина робость котят в саду
прошлый в желудках иссяк а ведь тучный был урожай
но не отвадить треклятых чем им ни угрожай
пал с погремушкой на горке ангел глухонемой
всех сосчитали цветы бы тоже созвать домой
первые сумерки смрада серые перья с небес
был я любимец с песней теперь я без
рухнул в сенях светильник всю опалил седину
в воздухе свист постепенные крылья гасят луну
лаковый глобус глаза подернут дырами тьмы
бедные наши котята бедные мы";6;;;
457;Serhii Zhadan;Serhii Zhadan;12/22/2014;Ukrainian;No;"В один із днів повернеться весна.
З південних регіонів Батьківщини
Потягнуться птахи, і голосна
Свистулька вітчизняної пташини
Озвучить ферми і фабричні стіни,
І грубий крій солдацького сукна,
І ще багато всякого гівна.
#zhadan #жадан";319;5;26;
458;Serhii Zhadan;Serhii Zhadan;12/23/2014;Ukrainian;No;"Добре, добре, знищуй листи,
стирай номери, пали мости,
просто стирай, просто громи,
ми вдосталь мали цієї зими.
#zhadan #жадан";752;2;123;
